state,scenario,urban_fiber_locations,urban_fw_locations,urban_sat_locations,rural_fiber_locations,rural_fw_locations,rural_sat_locations,tribal_fiber_locations,tribal_fw_locations,tribal_sat_locations,cost_urban_fiber,cost_urban_fw,cost_urban_sat,cost_rural_fiber,cost_rural_fw,cost_rural_sat,cost_tribal_fiber,cost_tribal_fw,cost_tribal_sat,fiber_spent,fw_spent,sat_spent,total_spent,fiber_served,fw_served,sat_served,fiber_ratio,fw_ratio,sat_ratio,remaining_funds,unserved_remaining,success,message
UT,URBAN_FRIENDLY,24063.0,0.0,0.0,2575.0,16330.0,0.0,0.0,6782.0,0.0,2200.0,800.0,1200.0,80000.0,2000.0,2000.0,106000.0,3800.0,5000.0,258938600.0,58431600.0,0.0,317370200.0,26638.0,23112.0,0.0,0.5354371859296483,0.46456281407035177,0.0,29542.0,0.0,True,
VT,URBAN_FRIENDLY,15900.0,0.0,0.0,1923.0,20034.0,0.0,0.0,0.0,0.0,2200.0,800.0,1200.0,80000.0,2000.0,2000.0,106000.0,3800.0,5000.0,188820000.0,40068000.0,0.0,228888000.0,17823.0,20034.0,0.0,0.4707980030113321,0.5292019969886679,0.0,25019.080000013113,0.0,True,
VA,URBAN_FRIENDLY,217807.0,0.0,0.0,11786.0,29700.0,0.0,0.0,0.0,0.0,2200.0,800.0,1200.0,80000.0,2000.0,2000.0,106000.0,3800.0,5000.0,1422055400.0,59400000.0,0.0,1481455400.0,229593.0,29700.0,0.0,0.8854577639967142,0.11454223600328586,0.0,34173.0,0.0,True,
WA,URBAN_FRIENDLY,106473.0,0.0,0.0,8861.0,88671.0,0.0,0.0,28216.0,0.0,2200.0,800.0,1200.0,80000.0,2000.0,2000.0,106000.0,3800.0,5000.0,943120600.0,284562800.0,0.0,1227683400.0,115334.0,116887.0,0.0,0.49665620249675957,0.5033437975032404,0.0,58666.299999952316,0.0,True,
WV,URBAN_FRIENDLY,119646.0,0.0,0.0,11428.0,16637.0,0.0,0.0,0.0,0.0,2200.0,800.0,1200.0,80000.0,2000.0,2000.0,106000.0,3800.0,5000.0,1177461200.0,33274000.0,0.0,1210735200.0,131074.0,16637.0,0.0,0.8873679008333841,0.11263209916661589,0.0,65770.0,0.0,True,
WI,URBAN_FRIENDLY,113911.0,0.0,0.0,6442.0,83261.0,0.0,0.0,32448.0,0.0,2200.0,800.0,1200.0,80000.0,2000.0,2000.0,106000.0,3800.0,5000.0,765964200.0,289824400.0,0.0,1055788600.0,120353.0,115709.0,0.0,0.5098363989121502,0.4901636010878498,0.0,34973.71000003815,0.0,True,
WY,URBAN_FRIENDLY,19675.0,0.0,0.0,3041.0,27587.0,0.0,0.0,1609.0,0.0,2200.0,800.0,1200.0,80000.0,2000.0,2000.0,106000.0,3800.0,5000.0,286565000.0,61288200.0,0.0,347853200.0,22716.0,29196.0,0.0,0.4375866851595007,0.5624133148404993,0.0,24721.269999980927,0.0,True,
AL,RURAL_FRIENDLY,132374.0,36675.0,0.0,0.0,37310.0,0.0,0.0,920.0,0.0,10000.0,1000.0,1500.0,10000.0,1000.0,1500.0,106000.0,3800.0,5000.0,1323740000.0,77481000.0,0.0,1401221000.0,132374.0,74905.0,0.0,0.6386271643533595,0.3613728356466405,0.0,901.7699999809265,0.0,True,
AK,RURAL_FRIENDLY,5043.0,0.0,0.0,78993.0,0.0,0.0,0.0,0.0,0.0,10000.0,1000.0,1500.0,10000.0,1000.0,1500.0,106000.0,3800.0,5000.0,840360000.0,0.0,0.0,840360000.0,84036.0,0.0,0.0,1.0,0.0,0.0,176779672.41999996,0.0,True,
AZ,RURAL_FRIENDLY,85777.0,6821.0,6.0,0.0,69186.0,0.0,0.0,15611.0,0.0,10000.0,1000.0,1500.0,10000.0,1000.0,1500.0,106000.0,3800.0,5000.0,857770000.0,135328800.0,9000.0,993107800.0,85777.0,91618.0,6.0,0.48352038601811714,0.516445792301058,3.3821680824798055e-05,4431.370000004768,0.0,True,
