state,scenario,urban_fiber_locations,urban_fw_locations,urban_sat_locations,rural_fiber_locations,rural_fw_locations,rural_sat_locations,tribal_fiber_locations,tribal_fw_locations,tribal_sat_locations,cost_urban_fiber,cost_urban_fw,cost_urban_sat,cost_rural_fiber,cost_rural_fw,cost_rural_sat,cost_tribal_fiber,cost_tribal_fw,cost_tribal_sat,fiber_spent,fw_spent,sat_spent,total_spent,fiber_served,fw_served,sat_served,fiber_ratio,fw_ratio,sat_ratio,remaining_funds,unserved_remaining,success,message
TX,ALL_L,309346.0,0.0,0.0,123301.0,0.0,0.0,7716.0,0.0,0.0,2200.0,800.0,1200.0,10000.0,1000.0,1500.0,80000.0,2000.0,2000.0,2530851200.0,0.0,0.0,2530851200.0,440363.0,0.0,0.0,1.0,0.0,0.0,781765255.4499998,0.0,True,
UT,ALL_L,24063.0,0.0,0.0,18905.0,0.0,0.0,792.0,5990.0,0.0,2200.0,800.0,1200.0,10000.0,1000.0,1500.0,80000.0,2000.0,2000.0,305348600.0,11980000.0,0.0,317328600.0,43760.0,5990.0,0.0,0.8795979899497487,0.12040201005025125,0.0,71142.0,0.0,True,
VT,ALL_L,15900.0,0.0,0.0,19108.0,2849.0,0.0,0.0,0.0,0.0,2200.0,800.0,1200.0,10000.0,1000.0,1500.0,80000.0,2000.0,2000.0,226060000.0,2849000.0,0.0,228909000.0,35008.0,2849.0,0.0,0.9247431122381594,0.07525688776184061,0.0,4019.080000013113,0.0,True,
VA,ALL_L,217807.0,0.0,0.0,41486.0,0.0,0.0,0.0,0.0,0.0,2200.0,800.0,1200.0,10000.0,1000.0,1500.0,80000.0,2000.0,2000.0,894035400.0,0.0,0.0,894035400.0,259293.0,0.0,0.0,1.0,0.0,0.0,587454173.0,0.0,True,
WA,ALL_L,106472.0,0.0,1.0,93282.0,4250.0,0.0,0.0,28216.0,0.0,2200.0,800.0,1200.0,10000.0,1000.0,1500.0,80000.0,2000.0,2000.0,1167058400.0,60682000.0,1200.0,1227741600.0,199754.0,32466.0,1.0,0.8601892163068801,0.1398064774503598,4.306242760129359e-06,466.2999999523163,0.0,True,
WV,ALL_L,119646.0,0.0,0.0,28065.0,0.0,0.0,0.0,0.0,0.0,2200.0,800.0,1200.0,10000.0,1000.0,1500.0,80000.0,2000.0,2000.0,543871200.0,0.0,0.0,543871200.0,147711.0,0.0,0.0,1.0,0.0,0.0,666929770.0,0.0,True,
WI,ALL_L,113911.0,0.0,0.0,72291.0,17412.0,0.0,0.0,32448.0,0.0,2200.0,800.0,1200.0,10000.0,1000.0,1500.0,80000.0,2000.0,2000.0,973514200.0,82308000.0,0.0,1055822200.0,186202.0,49860.0,0.0,0.7887843024290229,0.2112156975709771,0.0,1373.710000038147,0.0,True,
WY,ALL_L,19674.0,0.0,1.0,30083.0,545.0,0.0,0.0,1609.0,0.0,2200.0,800.0,1200.0,10000.0,1000.0,1500.0,80000.0,2000.0,2000.0,344112800.0,3763000.0,1200.0,347877000.0,49757.0,2154.0,1.0,0.9584874402835568,0.04149329634766528,1.9263368777931886e-05,921.2699999809265,0.0,True,
AL,ALL_M,169049.0,0.0,0.0,7166.0,30144.0,0.0,0.0,0.0,920.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,1353668900.0,45216000.0,2300000.0,1401184900.0,176215.0,30144.0,920.0,0.8501343599689307,0.1454271778617226,0.004438462169346629,37001.76999998093,0.0,True,
AK,ALL_M,5043.0,0.0,0.0,19951.0,59042.0,0.0,0.0,0.0,0.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,928557300.0,88563000.0,0.0,1017120300.0,24994.0,59042.0,0.0,0.2974201532676472,0.7025798467323529,0.0,19372.419999957085,0.0,True,
AZ,ALL_M,92604.0,0.0,0.0,6561.0,62625.0,0.0,0.0,0.0,15611.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,860129400.0,93937500.0,39027500.0,993094400.0,99165.0,62625.0,15611.0,0.5589878298318499,0.35301379360882973,0.08799837655932041,17831.37000000477,0.0,True,
AR,ALL_M,80111.0,0.0,1.0,11534.0,11061.0,0.0,0.0,0.0,0.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,1007707100.0,16591500.0,1350.0,1024299950.0,91645.0,11061.0,1.0,0.8922955592121277,0.10769470435315996,9.736434712337036e-06,4043.860000014305,0.0,True,
CA,ALL_M,118350.0,0.0,0.0,20533.0,77133.0,0.0,0.0,0.0,41000.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,1645920000.0,115699500.0,102500000.0,1864119500.0,138883.0,77133.0,41000.0,0.5403671366763159,0.3001097207955925,0.15952314252809163,17008.930000066757,0.0,True,
CO,ALL_M,51123.0,0.0,0.0,9412.0,54785.0,0.0,0.0,0.0,3565.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,735390300.0,82177500.0,8912500.0,826480300.0,60535.0,54785.0,3565.0,0.5091895529293015,0.4608234848803466,0.02998696219035202,42350.40999996662,0.0,True,
CT,ALL_M,4618.0,0.0,0.0,457.0,0.0,0.0,4.0,0.0,0.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,49106800.0,0.0,0.0,49106800.0,5079.0,0.0,0.0,1.0,0.0,0.0,95073992.71000001,0.0,True,
DE,ALL_M,5959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,36349900.0,0.0,0.0,36349900.0,5959.0,0.0,0.0,1.0,0.0,0.0,71398484.66,0.0,True,
DC,ALL_M,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,603900.0,0.0,0.0,603900.0,99.0,0.0,0.0,1.0,0.0,0.0,100090886.93,0.0,True,
FL,ALL_M,176236.0,33675.0,0.0,0.0,27126.0,0.0,0.0,0.0,9563.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,1075039600.0,70996500.0,23907500.0,1169943600.0,176236.0,60801.0,9563.0,0.7146634225466342,0.24655717761557178,0.038779399837794,3792.7000000476837,0.0,True,
GA,ALL_M,177347.0,0.0,1.0,4502.0,15203.0,0.0,0.0,0.0,0.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,1284406700.0,22804500.0,1350.0,1307212550.0,181849.0,15203.0,1.0,0.9228430929749865,0.07715183224817689,5.074776836688607e-06,1821.2999999523163,0.0,True,
HI,ALL_M,11905.0,32188.0,0.0,0.0,31929.0,0.0,0.0,0.0,0.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,72620500.0,76862700.0,0.0,149483200.0,11905.0,64117.0,0.0,0.15659940543526873,0.8434005945647313,0.0,1293.5699999928474,0.0,True,
ID,ALL_M,30701.0,0.0,0.0,6573.0,48587.0,0.0,0.0,0.0,10911.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,483061100.0,72880500.0,27277500.0,583219100.0,37274.0,48587.0,10911.0,0.38517339726367134,0.5020770470797338,0.11274955565659488,37149.87999999523,0.0,True,
IL,ALL_M,159623.0,0.0,0.0,637.0,25348.0,0.0,0.0,0.0,0.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,1002365300.0,38022000.0,0.0,1040387300.0,160260.0,25348.0,0.0,0.8634326106633334,0.1365673893366665,0.0,33451.5,0.0,True,
IN,ALL_M,106006.0,0.0,0.0,4545.0,11294.0,0.0,0.0,0.0,0.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,851161600.0,16941000.0,0.0,868102600.0,110551.0,11294.0,0.0,0.9073084656736017,0.09269153432639829,0.0,7329.789999961853,0.0,True,
IA,ALL_M,43341.0,0.0,0.0,2052.0,37316.0,0.0,0.0,0.0,1053.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,356720100.0,55974000.0,2632500.0,415326600.0,45393.0,37316.0,1053.0,0.5419283207182255,0.4455003462190492,0.012571333062725341,4713.0,0.0,True,
KS,ALL_M,24896.0,0.0,0.0,5300.0,35335.0,0.0,0.0,0.0,3342.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,390365600.0,53002500.0,8355000.0,451723100.0,30196.0,35335.0,3342.0,0.4384301540516603,0.5130457508747985,0.048524095073541156,2898.149999976158,0.0,True,
KY,ALL_M,137039.0,0.0,0.0,4571.0,29688.0,0.0,0.0,0.0,0.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,1041632900.0,44532000.0,0.0,1086164900.0,141610.0,29688.0,0.0,0.8266879940221135,0.17331200597788649,0.0,7636.859999895096,0.0,True,
