state,scenario,urban_fiber_locations,urban_fw_locations,urban_sat_locations,rural_fiber_locations,rural_fw_locations,rural_sat_locations,tribal_fiber_locations,tribal_fw_locations,tribal_sat_locations,cost_urban_fiber,cost_urban_fw,cost_urban_sat,cost_rural_fiber,cost_rural_fw,cost_rural_sat,cost_tribal_fiber,cost_tribal_fw,cost_tribal_sat,fiber_spent,fw_spent,sat_spent,total_spent,fiber_served,fw_served,sat_served,fiber_ratio,fw_ratio,sat_ratio,remaining_funds,unserved_remaining,success,message
ME,FW_FRIENDLY,22495.0,0.0,0.0,587.0,67.0,0.0,0.0,0.0,0.0,10000.0,800.0,1500.0,80000.0,1000.0,2000.0,106000.0,2000.0,5000.0,271910000.0,67000.0,0.0,271977000.0,23082.0,67.0,0.0,0.4288899624660894,0.0012449366382994537,0.0,723.0699999928474,30669.0,True,
MD,FW_FRIENDLY,26773.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,800.0,1500.0,80000.0,1000.0,2000.0,106000.0,2000.0,5000.0,267730000.0,8000.0,0.0,267738000.0,26773.0,10.0,0.0,0.7421277303470452,0.000277192593413904,0.0,400.71000000834465,9293.0,True,
MA,FW_FRIENDLY,8066.0,0.0,0.0,518.0,0.0,0.0,55.0,0.0,0.0,10000.0,800.0,1500.0,80000.0,1000.0,2000.0,106000.0,2000.0,5000.0,127930000.0,0.0,0.0,127930000.0,8639.0,0.0,0.0,1.0,0.0,0.0,19492464.389999986,0.0,True,
MI,FW_FRIENDLY,131409.0,0.0,0.0,3065.0,72.0,0.0,0.0,0.0,0.0,10000.0,800.0,1500.0,80000.0,1000.0,2000.0,106000.0,2000.0,5000.0,1559290000.0,72000.0,0.0,1559362000.0,134474.0,72.0,0.0,0.5996076158202167,0.0003210416016408793,0.0,479.289999961853,89724.0,True,
MN,FW_FRIENDLY,40929.0,0.0,0.0,3031.0,69.0,0.0,0.0,0.0,0.0,10000.0,800.0,1500.0,80000.0,1000.0,2000.0,106000.0,2000.0,5000.0,651770000.0,69000.0,0.0,651839000.0,43960.0,69.0,0.0,0.3882809118771916,0.0006094491109992316,0.0,368.2000000476837,69188.0,True,
MS,FW_FRIENDLY,111794.0,0.0,0.0,1070.0,21.0,0.0,0.0,0.0,0.0,10000.0,800.0,1500.0,80000.0,1000.0,2000.0,106000.0,2000.0,5000.0,1203540000.0,21000.0,0.0,1203561000.0,112864.0,21.0,0.0,0.8044246778423993,0.00014967499144714335,0.0,563.0499999523163,27419.0,True,
MO,FW_FRIENDLY,133646.0,0.0,0.0,4998.0,2.0,0.0,0.0,0.0,0.0,10000.0,800.0,1500.0,80000.0,1000.0,2000.0,106000.0,2000.0,5000.0,1736300000.0,2000.0,0.0,1736302000.0,138644.0,2.0,0.0,0.7054310107968942,1.017614914164182e-05,0.0,708.3900001049042,57892.0,True,
MT,FW_FRIENDLY,11015.0,0.0,0.0,6485.0,23.0,0.0,0.0,0.0,0.0,10000.0,800.0,1500.0,80000.0,1000.0,2000.0,106000.0,2000.0,5000.0,628950000.0,23000.0,0.0,628973000.0,17500.0,23.0,0.0,0.19362476626724642,0.00025447826423695245,0.0,798.5900000333786,72858.0,True,
NE,FW_FRIENDLY,10069.0,0.0,0.0,3807.0,31.0,0.0,0.0,0.0,0.0,10000.0,800.0,1500.0,80000.0,1000.0,2000.0,106000.0,2000.0,5000.0,405250000.0,31000.0,0.0,405281000.0,13876.0,31.0,0.0,0.22610027537436247,0.0005051245702367568,0.0,70.41000002622604,47464.0,True,
NV,FW_FRIENDLY,12498.0,0.0,0.0,3646.0,6.0,0.0,0.0,0.0,0.0,10000.0,800.0,1500.0,80000.0,1000.0,2000.0,106000.0,2000.0,5000.0,416660000.0,6000.0,0.0,416666000.0,16144.0,6.0,0.0,0.691362254293178,0.000256948310564858,0.0,229.74000000953674,7201.0,True,
NH,FW_FRIENDLY,10332.0,0.0,0.0,1165.0,40.0,0.0,0.0,0.0,0.0,10000.0,800.0,1500.0,80000.0,1000.0,2000.0,106000.0,2000.0,5000.0,196520000.0,40000.0,0.0,196560000.0,11497.0,40.0,0.0,0.6454274967720204,0.0022455510020771346,0.0,278.9699999988079,6276.0,True,
NJ,FW_FRIENDLY,14970.0,0.0,0.0,623.0,0.0,0.0,0.0,0.0,0.0,10000.0,800.0,1500.0,80000.0,1000.0,2000.0,106000.0,2000.0,5000.0,199540000.0,0.0,0.0,199540000.0,15593.0,0.0,0.0,1.0,0.0,0.0,64149548.650000006,0.0,True,
NM,FW_FRIENDLY,35520.0,0.0,0.0,4002.0,12.0,0.0,0.0,0.0,0.0,10000.0,800.0,1500.0,80000.0,1000.0,2000.0,106000.0,2000.0,5000.0,675360000.0,12000.0,0.0,675372000.0,39522.0,12.0,0.0,0.4992042440318302,0.00015157256536566882,0.0,312.0,39636.0,True,
NY,FW_FRIENDLY,66461.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,800.0,1500.0,80000.0,1000.0,2000.0,106000.0,2000.0,5000.0,664610000.0,8000.0,0.0,664618000.0,66461.0,10.0,0.0,0.7164679502382441,0.00010780276406287057,0.0,251.49000000953674,26291.0,True,
NC,FW_FRIENDLY,153299.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,800.0,1500.0,80000.0,1000.0,2000.0,106000.0,2000.0,5000.0,1532990000.0,8800.0,0.0,1532998800.0,153299.0,11.0,0.0,0.6962408200525931,4.9958897452550404e-05,0.0,681.1500000953674,66871.0,True,
ND,FW_FRIENDLY,155.0,0.0,0.0,1607.0,52.0,0.0,0.0,0.0,0.0,10000.0,800.0,1500.0,80000.0,1000.0,2000.0,106000.0,2000.0,5000.0,130110000.0,52000.0,0.0,130162000.0,1762.0,52.0,0.0,0.49745906267645396,0.014680971202710334,0.0,815.1200000047684,1728.0,True,
OH,FW_FRIENDLY,79368.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,800.0,1500.0,80000.0,1000.0,2000.0,106000.0,2000.0,5000.0,793680000.0,8000.0,0.0,793688000.0,79368.0,10.0,0.0,0.6317850746268656,7.960199004975125e-05,0.0,107.62999999523163,46247.0,True,
OK,FW_FRIENDLY,70619.0,0.0,0.0,1140.0,45.0,0.0,0.0,0.0,0.0,10000.0,800.0,1500.0,80000.0,1000.0,2000.0,106000.0,2000.0,5000.0,797390000.0,45000.0,0.0,797435000.0,71759.0,45.0,0.0,0.5990399866432924,0.0003756574004507889,0.0,691.25,47986.0,True,
OR,FW_FRIENDLY,37018.0,0.0,0.0,3984.0,14.0,0.0,0.0,0.0,0.0,10000.0,800.0,1500.0,80000.0,1000.0,2000.0,106000.0,2000.0,5000.0,688900000.0,14000.0,0.0,688914000.0,41002.0,14.0,0.0,0.3622052808720771,0.00012367381913587337,0.0,932.1699999570847,72185.0,True,
PA,FW_FRIENDLY,116177.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,800.0,1500.0,80000.0,1000.0,2000.0,106000.0,2000.0,5000.0,1161770000.0,8000.0,0.0,1161778000.0,116177.0,10.0,0.0,0.5928002857434432,5.102561485865905e-05,0.0,272.4100000858307,79793.0,True,
RI,FW_FRIENDLY,2494.0,0.0,0.0,25.0,0.0,0.0,6.0,0.0,0.0,10000.0,800.0,1500.0,80000.0,1000.0,2000.0,106000.0,2000.0,5000.0,27576000.0,0.0,0.0,27576000.0,2525.0,0.0,0.0,1.0,0.0,0.0,81142820.75,0.0,True,
SC,FW_FRIENDLY,55153.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,800.0,1500.0,80000.0,1000.0,2000.0,106000.0,2000.0,5000.0,551530000.0,5600.0,0.0,551535600.0,55153.0,7.0,0.0,0.7199472633049199,9.137546177242288e-05,0.0,383.0499999523163,21447.0,True,
SD,FW_FRIENDLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Stage1 infeasible: Infeasible
TN,FW_FRIENDLY,81331.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,800.0,1500.0,80000.0,1000.0,2000.0,106000.0,2000.0,5000.0,813310000.0,9600.0,0.0,813319600.0,81331.0,12.0,0.0,0.7502306102870637,0.00011069293779056896,0.0,80.22000002861023,27065.0,True,
TX,FW_FRIENDLY,309346.0,0.0,0.0,2739.0,36.0,0.0,0.0,0.0,0.0,10000.0,800.0,1500.0,80000.0,1000.0,2000.0,106000.0,2000.0,5000.0,3312580000.0,36000.0,0.0,3312616000.0,312085.0,36.0,0.0,0.7086994138926295,8.17507374597775e-05,0.0,455.44999980926514,128242.0,True,
UT,FW_FRIENDLY,24063.0,0.0,0.0,959.0,49.0,0.0,0.0,0.0,0.0,10000.0,800.0,1500.0,80000.0,1000.0,2000.0,106000.0,2000.0,5000.0,317350000.0,49000.0,0.0,317399000.0,25022.0,49.0,0.0,0.5029547738693467,0.0009849246231155779,0.0,742.0,24679.0,True,
VT,FW_FRIENDLY,15900.0,0.0,0.0,873.0,73.0,0.0,0.0,0.0,0.0,10000.0,800.0,1500.0,80000.0,1000.0,2000.0,106000.0,2000.0,5000.0,228840000.0,73000.0,0.0,228913000.0,16773.0,73.0,0.0,0.44306204929075205,0.0019283091634308054,0.0,19.080000013113022,21011.0,True,
VA,FW_FRIENDLY,148148.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,800.0,1500.0,80000.0,1000.0,2000.0,106000.0,2000.0,5000.0,1481480000.0,8800.0,0.0,1481488800.0,148148.0,11.0,0.0,0.5713536424045385,4.242305037158736e-05,0.0,773.0,111134.0,True,
